Give a short description about Amazon?,0 
Briefly describe Amazon?,0 
Tell me something about Amazon?,0  
Say something about Amazon?,0 
I would like to know about Amazon?,0 
Give an overview of Amazon?,0 
Everything about Amazon?,0 
What is Revenue of Amazon?,1 
Total amount of revenue generated by Amazon,1
How much total cash did Amazon earn,1
What is the money generated by Amazon?,1
Yearly turnover of Amazon,1 
How much did Amazon Earn?,1 
What is the earning of Amazon?,1 
How rich is Amazon?,1 
Profit of Amazon?,1
How much money does Amazon have?,1 
What is the net sales of Amazon?,1 
What is annual income of Amazon?,1 
What is the economy of Amazon?,1  
How many employees are there in Amazon?,2 
Tell me the number of people who are there in Amazon?,2 
Number of people work in Amazon?,2 
i would like to know the number of employees in Amazon?,2
Employement statistics of Amazon?,2 
How many people are there in Amazon?,2 
Men and Women in Amazon?,2 
Subsidiaries of Amazon?,3 
Assets of Amazon?,3
Companies owned by Amazon?,3 
Who does Amazon own?,3 
Cooperations owned by Amazon?,3 
Children companies of Amazon?,3 
which all organisations under Amazon?,3 

